ID,樣品名稱,熱量(kcal),粗蛋白(g),粗脂肪(g),總碳水化合物(g)
410,蘋果平均值(青皮),49.1257,0.3216,0.1609,12.9719
411,青龍蘋果,52.1426,0.3125,0.1735,13.789
412,翠玉青蘋果,46.1089,0.3307,0.1482,12.1548
413,翠玉青蘋果(帶皮),53.7499,0.371,0.2285,14.053
414,美國五爪蘋果,50.6902,0.1545,0.068,13.7783
415,蘋果平均值(混色),51.3994,0.2123,0.095,13.8587
416,加拉蘋果,55.0358,0.193,0.063,14.9611
417,津經蜜蘋果,56.3442,0.198,0.1679,15.076
418,秋香蘋果,45.3376,0.265,0.0217,12.296
419,富士蘋果,48.8801,0.193,0.1273,13.1017
420,富士蘋果(帶皮),44.9081,0.226,0.1469,11.922
421,金冠蘋果,48.7552,0.36,0.1025,12.9688
422,櫻桃,74.9321,1.2155,0.2603,19.0748
423,白櫻桃,69.3936,0.702,0.0975,18.3941
424,椪柑,40.1505,0.804,0.1548,10.0426
425,紅柑,41.8001,0.845,0.1119,10.5623
426,茂谷柑,44.3919,0.595,0.1223,11.4914
427,海梨桶柑,43.8265,0.8645,0.15,11.0184
428,高牆桶柑,45.1465,0.771,0.0,11.8211
429,檸檬柑,48.2649,1.108,0.0809,12.1847
430,長果金柑,55.5443,0.96,0.1947,14.0803
431,圓果金柑,31.5768,0.7,0.24,7.56
432,圓果金柑汁(綠皮),32.3401,0.891,0.0725,7.9832
433,文旦,33.5792,0.69,0.1211,8.402
434,白柚,37.4132,0.5755,0.1013,9.6199
435,西施蜜柚,40.3168,0.803,0.154,10.0916
436,甜橙平均值(普遍系),45.5985,0.7908,0.2496,11.3479
437,柳橙,43.5126,0.799,0.1311,11.0363
438,香吉士(進口),47.2362,0.6845,0.48,11.3663
439,澳洲甜橙(進口),46.0467,0.889,0.1376,11.6411
440,青皮葡萄柚,33.1124,0.751,0.0851,8.2991
441,紅寶石葡萄柚(古坑),36.8728,0.702,0.2838,8.9274
442,黃皮葡萄柚(進口),37.8268,0.717,0.078,9.6569
443,黃皮葡萄柚,37.2039,0.668,0.2217,9.1955
444,檸檬,33.3043,0.708,0.5335,7.35
445,萊姆,37.6843,0.521,0.9926,7.6738
446,檸檬汁平均值,30.6394,0.45,0.4495,7.0459
447,檸檬汁(黃皮),29.8739,0.478,0.2978,7.1598
448,檸檬汁(綠皮),31.4048,0.422,0.6012,6.9319
449,萊姆汁,34.1966,0.3125,0.4963,8.0535
450,紅甘蔗汁,63.4074,0.5325,0.5414,15.8574
451,人心果,82.512,0.6,0.8,20.5
452,可可椰子汁平均值,18.1673,0.124,0.0215,4.8808
453,可可椰子汁(屏東),17.4759,0.068,0.0186,4.7477
454,可可椰子汁(進口),18.8587,0.18,0.0244,5.0138
455,香瓜茄,24.4192,0.44,0.0657,6.2197
456,蛋黃果,105.6234,1.405,0.3206,27.2831
457,無花果,66.9899,1.16,0.4204,16.5482
458,黃金果,44.4768,0.927,0.227,10.9617
459,菠蘿蜜,107.7522,1.016,0.2449,28.4135
460,牛蒡,84.456,2.5407,0.3733,19.1474
461,胡蘿蔔平均值,38.547,1.1223,0.1263,8.8588
462,胡蘿蔔,37.2239,1.005,0.1761,8.4915
463,向陽二號胡蘿蔔,44.2969,0.627,0.1448,10.6262
464,澳洲胡蘿蔔(細長型),34.1201,1.735,0.058,7.4587
465,黃胡蘿蔔,41.802,1.073,0.2553,9.4497
466,冷凍胡蘿蔔,13.3556,0.47,0.06,2.98
